comment,is_toxic
cặc,1
đr hết thời cày rank bk ngợp,0
diễn viên hô ni hút ngại mấy kk,0
kim cương bố ỉa mồm mày lối đồ 10 game 1 live rank kc tag bố m,1
"chúng nó lòng vòng tìm cách tham ô tham nhũng , xử lý nguồn gốc gây ô nhiễm chuyển xử lý dòng chảy nước thải xả thải sông nước",1
why lồn,1
su quỳnh chéo avt hộ vs,0
phàm vlon thanh niên,1
bắt mấy thằng trộm xe . chặt tay,1
t dang xem sec,0
đm máy thằng hèn,1
chúng mày nghĩ uống thuốc ngủ kkk,1
"phát ngôn ngu vãi , tao ị bến xe gia lâm đóng thuế 5 k lượt kia mà vs gia lol âu , bọn chịch đóng thuế dùng bao sâu victoria kia ...",1
chúng dàn rựng trộm xe hai thằng đứng đấy giả vờ,0
tóc huyền thoại,0
bao bắt đóng mv,0
"hiệp 1 , giờ khóa , toàn fake",0
1 tỉ,0
mày nghĩ xl hết,0
"người ta lên tiếng 1 2 , báo chính thống , đâu báo mạng , cmt dạo khắp kể lể đủ thứ , k kiểu ăn tiền k , đáng nói chuyện bẻ dọa phốt",0
đấm gãy cmn,1
ngu thua,1
thằng khỉ đầu chó,1
thoi di thang khung oi,1
đm chúng mày . zam xã hội thâm .,1
thể loại ko ăn hở chộm cướp,1
dân ... cu hòi húng bảo v,0
ok haha đúng đóm nguu idol đầu bu . ồi giẻ rách xưa gvr đ mấy ae giúp đỡ thằng xách nước bổ cam lau dọn ghế cọ nhà vệ sinh đấy .,1
nhớ hkia k cs đàn cánh cụt,0
tin vui csgt đem người thân xe,0
lòng tự trọng hãy tự xin . đừng tiền năng lực . làm việc trách nhiệm đạo đức . hãy đất nước . chào đón,0
xin lỗi đb,1
thầy,0
mấy thằng ngu dốt tại sao gọi bọn nhà trí thức ?,1
học đánh illoi mong giao lưu chỉ giáo,0
chúc anh chị kì nghĩ lễ thật vui vẻ,0
thứ luật nghiêm . thứ 2 rồi đây tình mất hết . botay,0
dot,1
tây tưởng điên trốn trại,1
"mỏ giống cá tai tượng , , sạo ke cai thứ chửi việt nam la kg ưa roi",1
"má xem clip xong nhìn xe , giật mình . nghĩ lại thì ra bỏ bên hàng xóm",0
hn thu nguyên mấy thằng nhơ bẩn nc vn,1
thằng ngu ko bồi thường đừng lấy dân,1
acc fake bắt trọng tài đăng đc má ôi tin nhanh,0
thua top sai lane chu trinh nhu cac that,1
"ngu tự ái , cãi cùn nch thích công kích cá nhân . trình độ học vấn hết cấp2 ?",1
mắt mù,1
bọn lột xong bỏ cát bình xăng dầu . khốn nạn .,1
"mẫn đạt sủa câu ngu học đúng fan bóng đá thời vụ câu , dell nhìn chửi hlv",1
m thời,0
dm thằng lồn,1
"hlv éo tâm , dẹp gắp , sâu mọt phá dần bóng đá việt nam",1
k khen phim dỡ vkl,1
bỏ éo liên quan ?,1
acc fake nha,0
lỗi lầm j hả th chó,1
"giống vcl , đm 2 giọt nước",1
sory mẹ mày,1
"dàn dựng trộm cắp , thanh niên sức dài vai rộng k chịu , ăn cắp , người ta đánh chết .",1
đọc đọc hết k hiểu câm cút .,1
"nghiệp dư , trâu trắng phù thủy trắng mịa !",1
chúng mày đốt kệ con mẹ chúng mày,1
cháu cặc j .,1
. mất la đúng,0
"bọn súc vật , bắt chặt tay o giám .",1
"bắt đạp chế . t đứa đạo lí , tao khinh",1
mi bắt v r bh xl đk méo j nx,1
khách quen mày hay sao ? m chửi tao tao binh liên quan mày khách hàng thân thiết m,0
bố tk óc chó ngáo đá tưởng ngầu,1
phạm vũ nc trời âu,0
xin cặc mẹ mày . ok,1
lolll m bán độ xin lổi cc j,1
năng lực yếu kém . tư duy bảo thỉ . xin nghỉ,1
mực vel koz kk ilao bạch tuộc,0
chó trọng tài,1
?,0
bao gio ban xoi moi mua lai dc xe,0
sorry cc bắt thẻ cc ngta,1
nghỉ mẹ đừng trọng trọng tài,1
nguyễn quốc vinh subasan,0
chuẩn bị bay acc ik,0
bú tương tác hẳn rẻ rách,1
nguyễn gia hiếu m lm j,0
mày hãm l mày công kích tao xong bảo tao công kích cá nhân mày chả lẻ mày chửi tao tao chửi m ngơ,1
quao thật xạo l,1
pha ke,0
bạn bè dell tk mực rách,1
tham vật chất . chết của cải vật chất hết . nhg tội mang . ko từ bỏ dc,1
thứ bóng dơ,1
ngoo đăng khoe,1
sơ hở trộm,1
fake cũbg tin,0
ngu vcl,1
thủ tướng kỳ,0
thằng lồn mày việt nam thử ko,1
nhặng đýt,1
tinh trùng khuyết tật,1
chừa mê choai cưng,0
đg r lm bố thiên hạ,1
trải cảm giác .. a di đà phật,0
"thuê diễn viên bắt nạt , 2 game 4 8 , 2 8 k khá dc",0
lộn tối nhớ k cs chim cánh cụt pressing,0
lữ văn thánh trẩu vc,1
xin lỗi mẹ mày . xin lỗi đc con mẹ . bắt k bắt công băng mẹ mày giờ đỡ xin lỗi,1
thành phố quê mày song đời,1
đỉnh khăn gió ấm,0
mong hãy rời khỏi vn,0
khánh share cháu,0
nhạc sĩ đa tài anh chàng tấu hài đẳng cấp,0
haha mày nhìn ạc đánh giá hơi vội tao đéo loại ăn bám việc làm chơi tốc chiến đâu,1
dư lợn vin,1
xà lơ . hợp lý . cty tư cách đòi làm việc vs nta . cty cơ quan nhà nước . thông cáo báo chí chi . cửa gặp .,0
nhanh chậm con mẹ chúng mày,1
đm thằng ad xamlone,1
mẹ mày chửi độ,1
mấy thằng chó đẻ !,1
tức ca ko đc,0
"jack bỏ bỏ qua . jack rõ , hãy ủng hộ jack",0
from bảo yên with love,0
trọng tài thái lan chơi ngãi,0
tui coi coi chẳng hết trời,0
ô 2006 lớp 12 tích tiền mẹ ăn sáng net net 70 win cao thủ đơn 220 điểm ô k tin lmsslus check ig phu 206 12 c1 2005,0
"mịa , bao đời đéo dẹp , thăng mấy dẹp đéo , ngu vl",1
"xuất cai l , đm quần áo vn toàn nhập siêu tq hết 70 xuất xuất clm chúng mày",1
wc,0
đừng a,0
may can xuong cua tao,1
nhìn mặt đẹp gái tính xấu xa thế này .,1
nhìn ngu haiz vãi,1
nguyên chữ fan cứng,0
k mấy bọn thượng đẳng hàn quốc,1
tụi thái mua m vua áo đen bắt quần trọng tài phụ quần quề tổ cha tụi,1
thằng fan thằng dc bố m nể,1
đm train cuccut vô quất 1 hơi 3 0 sợ thật v,1
bắt đc thằmg ngu cắn bait,1
3 tù,1
ăn cơm chó,0
1 mẹ vĩ đại mãi êu,0
lm m bao h chửi,0
nhìn nhìn,0
"fuck , mẹ mầy nghỉ cầm còi đc , đống tiền thái .",1
gác đủ trình k bạn bè chóa mạng tin ngáo,1
"viêt nam tội trom căp hình phạt nhẹ , phạt bên thái lan xem coi dám k",0
xúc phạm lồn mồm thằng giống hố phân,1
cc m ak xl lol,1
hat nhu lon,1
hoa cánh hoa tạo hoa,0
xin lỗi đéo đâu,1
mẹ bọn trâu bò người ta kiếm bạc cắt kô tha,1
éo thèm,1
xinh cụ m,1
xạo lồn chị ba,1
bóng đũy ăn cứt,1
"ch . ó mực sủa ghê , đánh cc , bú cặk a a dạy chơi game",1
bố thằng đần,1
đù idol,0
chet me may chua kkk,1
pha óc chó a . ý thức ruồi a,1
vl t xem mèo simmu,0
sống cacban . k chậm,0
tụi bay nghĩ giọng con gái ? sai lầm . nhỏ tâm hồn con gái . cu,0
ngu cay,1
"vui , thái độ cách cư xử , thua lòng buồn cực , chơi chịu , cư xử bên vui vẻ người ta nể",0
"ba lan chi jack bao , giờ đạo nhạc",1
"loại phản động phát biểu linh tinh , việt nam thống nhất",1
quốc khánh sáng nguyễn nguyễn shaco thằng ngu t,1
ngèo khó ko tha bọn chó cắn áo rách,1
đm bọn chó bán xôi đéo tha .,1
hình chó heo bình tùm bậy tùm bạ . chửi anti thốn vl,1
hả mn,0
mẹ đỹ ruồi phát quang mê cá chà bac jack thích rơi,1
30 p kêu chậm dmm,1
đặt,0
ayane harukana .,0
"ăn hết tiền dân lo dân lũ mọi rợ lo dân , tàu rước bao công chém hết lũ mọi rợ .",1
ngài tỷ phú nghe nóng hết đầu,0
con người tiến hóa thành chóa,1
chuyên môn yếu,1
não chứa sạn vs sỏi đầu hả coi chừng đứa,1
ko . ngợm ko ngợm . ý thức đống rác . nhà nước bỏ tù thằng coi thường pháp luật tính mạng . phạt thật nặng xem im mỏm ko .,1
hả,0
dm bọn việt tân,1
tao giạy khóa lm trọng tài ko,0
"top 1 , 3 acc td hàn top 10 top 20",0
hàng hải admin ngu đéo chịu đc ôi hàng hải,1
lũ bắt dk dah chết mẹ ... ko lo làm ăn .. toàn trộm cắp,1
bắn làn tốc độ,0
"đúng bồi thường , ngta bầu bỏ đâu đc",0
"đàn bà , trăm trả lời thằng lắm mồm !",1
muộn,0
bài học cảnh giác,0
hoàng t . kim khuyến cười lon,1
nay da vo mat no đa,1
dòng họ nghèo hèn kid đ gặp messi ganh tị,1
vinh top thách đấu đấy ba . conten,0
trần dần quad,0
sếp bắt nhân viên cách li thay,0
nguyễn văn huân sống chậm đéo j,1
tăng gia kiệt e hiểu lý do e dc lòng đứa r a,0
hủy lễ tang mẹ m,1
sống kiểu ko ngốc đầu nỗi đâu . sau này hối hân muộn,1
óc chó,1
ăn tết đéo ngon,1
", giảng hòa kh ? v",0
thịt lợn tăng,0
ng tuấn châu uầy gắt vđ,1
m,0
gi vay abe,0
vl,1
khánh an hạt điên quỷ chơi nè lũ bk,0
đĩ linh nc ngu vãi ! thăm,1
"có lẽ chơi game kỹ năng mềm kém . mấy đứa tuyển thủ trừ đứa chín chắn levi lứa tuyển thủ đời đầu kỹ năng mềm , kỹ năng sống kém kể cả sofm t k đánh giá",0
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày đọc . tưởng chúng mày hết đấy,1
hiep tong k đâu,0
chẳng hiểu mày ăn mặc kiểu lồn gi,1
"chấp loại hả e , chả cuộc đời mở mồm khinh người",1
1 bò động đực clm,1
đừng avt phán câu clone,1
đứa trẻ thật hết . chết gặp phán quan hối cãi kh kịp ròi .,0
xử lý lỗi dc khen . lôi rank . thoi đăng mạng xã hội chi đòi khen trog toxic xử lý lỗi,0
mong luật sư làm việc,0
mầy thit,0
"bán nước rõ ràng , cháu dư luận viên sủa ko ?",1
óc choo kèo ko,1
nguyễn quốc an giọt nước suối tinh khiết,0
dlv ngu lol lắm đứa hùa thể hiện đầu óc đúng cặn bã . lắm thằng bảo việt tân tài trợ phan .,1
lê hữu,0
ôi bọn ghen ăn tức,1
nhảm loz,1
thanh tâm a mực ngu cỡ m ngu cỡ,1
địt con mẹ cnó vẽ rađể ăn chia . cổng 200 ti tế thằng tổ cnó ah,1
se dan,1
coppy ảnh page ghi nguồn . kém chuyên nghiệp,1
"immortal 2 one champ ngang ngữa , tồ vs trym hòa 1 mực illaoi , smuft tụi rank bạch kim kim cương",0
anh em đón tết corona,0
thích spam th xd,0
biểu mê trai đừng đỗ thừa winner ẹc sìn tơ nhaaaa,1
"nha jack , e hiền ăn híp , trèo đầu cỡi cổ , đụng chạm fan e nữa kìa , ủng hộ jack công ty sáng tỏ , bắt chịu trách nhiệm phát ngôn gây mn",0
"mày hết trộm cướp , xã hội hạn chế mừng",1
"kinh , bn ok",0
từ bỏ tiền cày view cc j đâu,1
trận đá bóng thỏa mãn nhãn hâm mộ yêu bóng đá mày bắt bồn tắm biển thằng đui trọng tài,1
nguyễn mạnh câu ngu câu đấy đúng fan ráck,1
"văn minh ăn cháo đá cặp lồng , bỏ vợ bỏ",1
xin lỗi dc ?,0
"tự nhiên bỏ công ty vẻ tội nghiệp đàn anh bên faptv cứu xong giờ xem coi ko , bỏ vợ bỏ , khinh thường đàn anh , làm màu sân khấu show khán giả chê , dính bản quyền gần idol b xem thêm",0
xin đmm,1
nứng nứng nứng,1
2 đéo liên quan nhóc ác nhai phân ngậm hoài kh nhả v,1
lỗi cc,1
ok a,0
tao gặp kiểu t bắt diệt đánh chết cụ mày,1
"đọc tin đau lòng , thật kinh khủng .",0
xin chào trọng tài,0
giờ bố lấy xe m xịt sơn bảo t m chịu đc ko kuu,0
thầy book giáo án e a be cứu e vs,0
ngu chịu,1
chủ đem nhân viên khảo sát địa hình nuôi tôm,0
nhìn mặt nc . bik bộ mặt giả tạo . bữa lôi tên hiếu vo . giờ kiểu xạo lol,1
địt cụ chúng nó ? bắt sâu nặng . đất nước xã hội khốn nạn,1
ăn bom thằng adm trốc tôm,1
bắt j h 1 câu xin lỗi xong cuối chạm tay k j xảy hảo,0
cày thuê rank bk ngầu . wa clm,0
"vài kỳ huyện ung thư , hà tĩnh tỉnh ung thư vn 3",0
xin lỗi việt nam,0
trọng tài,0
nghèo đói,0
quy cai chuyen di lua gat ... may gat chi minh hieu ... lon,1
loại tội phạm tổ chức ... ko tòa ... niếu bắt đem biển đổ xong.ok .,1
rấtt nhớ,0
đuối lý kìa . cay lắm . fan thằng toxic xử lý ngu hành ròii cay đập bàn đập ghế xong bắt ngkhác khen cơ .. chơi game it thoi cháu . đường kkkk,1
thanh niên xe độ mặc đồ tối khí chất u ám xếp loại hạng,1
đúng ảnh hợp lí,0
tán tận lương tâm ăn cướp giật,1
"ngu mượn vô cmt ngta chứng tỏ m ngu , sân si",1
ngàn xin lỗi ko đủ . chết,1
"má tao má mày , ba tao anh em tao dạy kèm má mày",0
thoại trần tã,0
nguyễn hằng khanh nguyen ăn nè,0
"the ma van k ganh duocc anhh , dung la ngu lau dot ben kho dao taoo ma",1
hủy kênh coi vô bình luận,0
học xâm hình thầy lol,1
trai đẹp dè chừng . c e,0
"nhìn diễn tả nổi , video đáng buồn , cầu mong bán xôi kia mãi mãi tốt đẹp",0
bố mày đẻ mày mày ăn cứt lợn,1
đúng chất thần ăn phân chó,1
dc mẹ sức dài vai rộng ..,1
tự trọng xin nghỉ việc . phát biểu toàn . nắm đội tuyển việt nam đá giải thua . giao hữu chính thức . đá giờ dự word cup,0
"trọng tài , trọng tài , trọng tài đâu",0
mầy thai lan mua,0
tin vui cuối,0
vẻ nổi tiếng v,0
. thằng tiền hết . đụng phạt . ý thức tự .,0
giọng nghe ha,0
cầm còi 1 mày ăn đời thằng mặt,1
đm mày thang chó,1
mày đúng c . h . ó ăn c . ứ . t nhà nước .,1
nghèo lấy xe nhục,0
đời a ngu mọi,1
"phản động đứa dám nói xấu , xéo , sự thật , ngược đường lối đoảng bọn dư lợn viên lương 3 1 củ nhầm 3 củ 1",1
sản phậm đạo cl thẳng bỏ đâu thèm đạo .,1
hài lòng ny bên cạnh thoiii mặc dù k ny,0
"mấy grp rank bạc vàng mực feed , bọn m up khịa vc",1
ngu,1
kien ne bố jack cmay nổi đc thằng thánh nện kia n nổi lâu k cty tuổi cẹc nổi đc giời ngồi lo tr thế giới lo ăn mồm no,1
mấy thằng mất dạy . co xe ban xôi lấy,1
"trộm cướp bắt đánh chết , đừng chúng đẻ trứng",1
"bon giảng cảnh , sau này gd bọn , báo nhanh",1
xin fb,0
quang chivas bố tổ sư thằng bại não,1
súc vật nhan sắc nhân cách súc phạm loài người đy,1
"hô ng việt dùng hàng việt đâu hết , mẫu",0
giảm cân hoèn,0
trẻ ranh dạo cay . tao chửi cay . fan thằng zeros thất bại del gi lũ ricon bên bóng đá gi đâu cay fb soi . kkkkk cay lắm kìa,1
"đóm cay đóm cay , mấy ruồi nghe nhạc 5 củ mọc răng cắn gê lắm , ns mấy ruồi phát sáng kêu 5 củ mik oan báo công an mạng hù",1
bắt 3 ch mn,0
gết thật giữ kiểu dân lấy xe tính tiền giữ xe kìa,0
le mynhut thứ 5 tuần chế,0
tí bố bayyy acc,0
lỗi cặc thằng mắt mù,1
"quân ăn cướp trắng trợn , cuộc sống mang nghiệp nặng",1
đâu,0
cố tỏ ổn bên .....,0
nghe hư trúc mộ dung phục,0
táng chết cha tụi mày lũ học trò l,1
hèn chúng nó dám ko liên quan . địt mẹ mấy thằng,1
fake dmm,1
bảo hiểm nước đ chả nộp v tai nạn thanh toán v bóp tít ngu v,1
tụi bây sống nhục mặt đàn ông thiên hạ,1
xin lồn dcm văn minh nổi pen đấy đâm mắt,1
xl cặc đm mày,1
àh .... tụi thân cộng sói đói ... luôn luôn rình rập,1
"thương jack , ngẹn lòng , mong mọi thứ câu trả lời nhanh thui",0
sống chậm con mẹ chúng mày,1
đụ má ...... bede sấu đất,1
3 quân bất lương xứng đáng lao động khổ sai,1
rank đồng,0
mẹ mấy thằng chó đẻ người ta nghèo chúng mày bày trò cướp người ta nhân quả sớm,1
"chị ba đúng . chị ba bán nước cầu vinh . đời cố nội thằng chị ba , tham sống sợ chết đầu hàng giặt",1
chuộc 200000 usd,0
váy xinh giá 93 k,0
"dịt mẹ đéo báo cong an bắt mẹ họp bàn lồng , mẹ xe buyt éo bảo vệ dc khách hàng",1
buồn nha,0
tụi trời lấy mấy hồi,0
đĩ bóng lộ nè,1
hình thức lừa cướp đoạt xe giống vs chị nè trần thị cẩm giang,0
tội gái,0
nta xương thịt đâu quẳng vài đồng tiền xong,0
đàn bà mắt,0
ad mày bố láo,1
thức khuya,0
gạ r bn,0
hơ hơ đm đéo xl đá sửa lôi thẻ đỏ tháis lừn . đm h bày đặt sin lũi,1
phan linh bùi ý thức đầu buooi đúng r,1
acc giả h trọng tài bận bắt,0
"ê chửi tkg rách đừng chửi vùng miền nha , miền tây liên quan m , t hanoi .",1
đừng phá bđvn thưa ngài,0
quỳnh bệnh nhân cách pạn,1
giờ co công an làm ma cướp giật nổi,0
xl dc hả,0
"mặt dương vật háng , mặt nhìn coi có hậu hết . ăn nói giang hồ mất dạy",1
thui tốt biến khỏi đội tuyển troussier k đội tuyển k tan rã thật sự đề nghị hãy lượn hlv troussier,0
ăn học kiểu luật giữ xe sang tai nạn . trù ẻo tai nạn . mịa mấy đầu bò mang tiếng ngu dân,1
địt mẹ mày,1
đm trọng tài kh chó dương nguyễn nhật hà,1
ý thức đb,1
ăn hết nội mày hả mày dcmm đừng tao,1
nghỉ . nhục lắm,1
bắt ngu chó,1
"đứa xem chùa fan cứng , mong ad xem xét gỡ xứng đáng vvvv",0
